t1_name,t1_rank,t1_form_wins,t1_form_losses,t1_h2h_wins,t2_name,t2_rank,t2_form_wins,t2_form_losses,t2_h2h_wins,h2h_ot,t1_score,t2_score,outcome
Wings Up,165,6,5,3,Invictus,178,3,3,5,0,2,0,1
mouz NXT,36,18,6,0,GORILLAZ,92,8,7,0,0,2,0,1
HAVU,37,11,11,0,MAD Lions,39,20,3,1,0,2,0,1
VERTEX,98,6,3,0,lol123,111,7,3,3,0,2,0,1
Unique,62,1,2,0,hREDS,164,4,5,0,0,0,2,0
LookingForOrg,96,2,0,0,8Ballers,225,3,4,0,0,2,0,1
Triumph,73,16,8,0,ChocoCheck,181,3,2,0,0,2,1,1
Mythic,121,5,5,0,Eros,126,4,6,0,0,2,0,1
AVE,93,7,4,0,Anonymo,64,4,3,0,0,1,0,1
Third Impact,131,6,18,1,Eros,126,3,6,2,0,0,2,0
Paquetá,63,27,13,5,SWS,116,14,12,1,1,2,1,1
GGPR,112,4,4,1,Mythic,121,4,5,2,1,0,2,0
LowLandLions,145,1,0,2,EC Brugge,169,3,6,0,0,2,3,0
SAW,52,11,11,0,AURA,79,6,3,0,0,1,2,0
Eternal Fire,89,6,5,0,fnatic,22,4,6,0,0,0,2,0
Vitality,5,10,4,3,Liquid,11,6,4,2,1,2,1,1
BIG Academy,88,9,8,0,Enterprise,81,5,8,0,0,0,2,0
MAD Lions,39,19,3,0,Anonymo,69,4,4,0,0,2,1,1
OPAA,108,4,3,0,Fiend,31,17,11,0,0,0,2,0
Astralis,8,5,5,0,Evil Geniuses,35,1,7,0,0,2,0,1
Lyngby Vikings,44,16,11,2,Astralis Talent,179,4,11,0,0,2,0,1
AGO,24,21,12,0,Young Ninjas,41,26,17,0,0,2,1,1
Fiend,31,17,11,2,K23,28,12,8,3,1,0,1,0
Copenhagen Flames,25,26,12,4,HAVU,37,11,10,2,0,2,1,1
Unique,62,1,1,0,BLUEJAYS,90,3,2,0,0,1,2,0
MAD Lions,39,19,3,1,SKADE,21,31,15,2,0,0,1,0
777,60,9,10,0,EC Kyiv,138,5,11,0,0,2,0,1
Dynasty,256,2,4,0,Exsto,224,2,2,0,0,2,1,1
Rooster,161,8,7,3,lol123,111,7,2,10,6,2,0,1
Fiend,31,16,11,5,Lyngby Vikings,44,16,10,2,0,2,0,1
bankaPEPSI,94,9,15,2,B8,132,2,6,2,0,0,2,0
Mythic,121,3,5,1,Strife,104,2,1,3,0,2,1,1
Paquetá,63,27,12,5,Sharks,64,12,8,4,0,1,2,0
ChocoCheck,181,2,2,0,Eros,126,3,5,0,0,2,0,1
paiN,47,7,2,4,Extra Salt,27,13,1,19,2,2,1,1
9z,67,25,3,7,Havan Liberty,68,20,6,11,3,1,2,0
SKADE,21,30,15,10,Anonymo,69,4,3,3,2,2,1,1
Triumph,73,15,8,2,GGPR,112,4,3,0,1,2,0,1
ATK,99,4,2,0,Third Impact,131,5,18,0,0,0,2,0
SWS,116,13,12,0,Isurus,118,13,9,0,0,2,1,1
Extra Salt,27,12,1,4,GODSENT,71,3,3,0,2,2,1,1
ONYX,86,6,6,0,Infinite,83,7,6,0,0,2,1,1
XGC,274,0,2,0,Feenix,211,1,3,0,0,2,1,1
AGO,24,21,11,0,Movistar Riders,50,14,8,0,0,1,2,0
MAD Lions,39,19,2,0,Dignitas,32,10,3,1,0,0,2,0
Trasko,65,13,3,0,Tricked,142,4,7,0,0,2,1,1
Copenhagen Flames,25,25,12,4,Fiend,31,16,10,8,1,2,1,1
paiN,47,6,2,11,Party Astronauts,49,20,9,2,4,2,1,1
Apeks,54,14,15,0,DBL PONEY,29,19,10,4,0,0,2,0
SAW,52,11,10,3,Sprout,38,11,11,2,0,0,2,0
Endpoint,26,17,6,0,Trasko,65,13,3,0,0,0,1,0
Wisla Krakow,66,11,10,0,Budapest Five,97,3,5,0,0,2,1,1
FaZe,6,10,5,0,OPAA,108,4,2,0,0,2,0,1
ONYX,86,5,6,0,NewBelarus,106,5,4,0,0,2,1,1
BLINK,61,8,4,2,4glory,175,5,4,2,0,2,0,1
ORDER,100,7,1,3,lol123,111,7,1,0,0,2,0,1
LDLC,33,14,12,0,00Nation,43,2,3,2,0,0,2,0
Sinners,20,13,6,0,GORILLAZ,92,7,7,0,0,1,2,0
Rooster,161,7,7,0,VERTEX,98,6,2,0,0,2,1,1
Young Ninjas,41,25,17,0,Levadia,171,2,1,0,0,2,0,1
Lyngby Vikings,44,15,10,0,Nemiga,46,9,8,0,0,2,0,1
PACT,70,11,12,0,GORILLAZ,92,6,7,0,0,1,2,0
HAVU,37,10,10,1,Finest,93,8,5,0,1,2,1,1
LookingForOrg,96,2,0,2,Warriors,219,4,7,0,0,1,0,1
ChocoCheck,181,1,2,0,Mythic,121,3,4,0,0,2,1,1
Isurus,118,13,8,0,Sharks,64,11,8,0,0,0,2,0
Eros,126,2,5,0,Strife,104,2,0,0,0,2,0,1
Party Astronauts,49,19,9,4,Bad News Bears,40,12,8,14,2,16,14,1
Extra Salt,27,11,1,7,Bad News Bears,40,12,7,6,0,16,14,1
Paquetá,63,26,12,3,SWS,116,13,11,0,0,2,1,1
